,LOCATION,TIME,SP_DYN_TFRT_IN,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,SP_POP_GROW,SH_DYN_AIDS_ZS,SP_RUR_TOTL_ZS,NY_GDP_MKTP_CN,NY_GDP_MKTP_CD,NY_GDP_DEFL_ZS,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_PP_CD,NY_GDP_MKTP_PP_CD,XTGOV_IMF,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,SI_POV_DDAY,PA_NUS_PPP,DT_TDS_DECT_GN_ZS,200101,200151,200345,200343,200144,NY_GNP_PCAP_CN,NY_GDP_MKTP_KD,PA_NUS_PPPC_RF,PA_NUS_FCRF,NY_GDP_MKTP_KN,PA_NUS_ATLS,PA_NUS_PRVT_PP,NY_GNP_MKTP_CN,NY_GDP_PCAP_PP_KD,NY_GDP_MKTP_PP_KD,NY_GDP_PCAP_CN,poverty
62,AUT,1984,1.52,73.6122,11.3,-0.00629,NA,35.43,98857490400.0,67985345161.9558,59.88411,0.05127999999999999,8991.06508,NA,NA,NA,9270.0,NA,NA,NA,NA,7607.293000000001,1084.646,3840.966,1409.3129999999999,1272.368,13093.98279,218637779730.792,NA,1.45412,165081351900.0,1.4541,NA,99009286700.0,NA,NA,13073.907729999999,False
63,AUT,1985,1.47,73.81463000000001,10.7,0.04695,NA,35.695,104329954100.0,69386774474.5943,61.658469999999994,2.49868,9172.09677,NA,NA,NA,9360.0,NA,NA,NA,NA,7614.868,1076.4569999999999,3891.13,1379.759,1267.522,13815.552969999999,224100834862.97897,NA,1.50356,169206204100.0,1.5036,NA,104514451000.0,NA,NA,13791.1647,False
64,AUT,1986,1.45,74.31707,10.1,0.06355,NA,35.963,109880625300.0,99036165209.5539,63.47801,2.30139,13083.0727,NA,NA,NA,10820.0,NA,NA,NA,NA,7625.393,1081.767,3927.08,1360.214,1256.3319999999999,14498.05659,229258275343.493,NA,1.10951,173100303500.0,1.1095,NA,109747301800.0,NA,NA,14515.66916,False
65,AUT,1987,1.43,74.76829000000001,9.4,0.06327999999999999,NA,36.231,114085965300.0,124168442860.253,65.02493,1.35717,16392.76957,NA,NA,NA,13810.0,NA,NA,NA,NA,7639.352,1096.441,3966.071,1338.567,1238.2730000000001,15045.934790000001,232369695258.04102,NA,0.9187700000000001,175449565400.0,0.9188,NA,113966727000.0,NA,NA,15061.67668,False
66,AUT,1988,1.45,75.21706999999999,8.9,0.14157,NA,36.5,119645441000.0,133339397080.129,66.01777,3.2958800000000004,17578.61894,NA,NA,56905000000.0,18070.0,NA,NA,NA,NA,7658.84,1116.663,4009.145,1319.164,1213.868,15816.794780000002,240028322052.06198,NA,0.8973399999999999,181232172900.0,0.8973,NA,119975402300.0,NA,NA,15773.294769999999,False
67,AUT,1989,1.45,75.26585,8.4,0.45051,NA,36.769,127981232400.0,133105805928.237,67.97504,3.8870699999999996,17468.946190000002,NA,NA,59225000000.0,19300.0,NA,NA,NA,NA,7686.571999999999,1136.513,4057.917,1307.8319999999999,1184.31,16859.65382,249358402441.892,NA,0.9615100000000001,188276803000.0,0.9615,NA,128463261900.0,NA,NA,16796.39176,False
68,AUT,1990,1.46,75.56829,8.0,0.762,0.1,37.04,137548696400.0,166463386663.439,70.01406999999999,4.34564,21680.989690000002,19442.31204,149275155516.776,64045000000.0,20630.0,19530.0,NA,0.9214399999999999,NA,7723.9490000000005,1152.527,4112.844,1307.6889999999999,1150.889,17996.39645,260194624813.073,1.11514,0.8262799999999999,196458638000.0,0.8263,0.9414399999999999,138173632500.0,31341.90238,240638425197.17398,17915.001780000002,False
69,AUT,1991,1.51,75.61707,7.6,0.9984200000000001,0.1,37.311,147464359800.0,173794177725.398,72.5639,3.4416300000000004,22410.91174,20585.01931,159634580985.146,70173000000.0,21810.0,20570.0,NA,0.92376,NA,7772.701,1172.15,4155.244000000001,1317.6629999999998,1127.644,19001.37445,269149554294.00198,1.0887,0.84852,203220012300.0,0.8485,0.93981,147353587700.0,32098.49154,248920303155.224,19015.65861,False
70,AUT,1992,1.51,75.81707,7.2,1.10055,0.1,37.583,155789391700.0,195078126346.10602,75.08846,2.0935200000000003,24880.16407,21259.63675,166690625207.307,76328000000.0,24520.0,21310.0,NA,0.9346,NA,7830.933000000001,1188.208,4202.76,1341.055,1098.91,19918.432819999998,274784266755.542,1.1703,0.7986300000000001,207474473500.0,0.7986,0.9462799999999999,156174635500.0,32411.802460000003,254131511242.855,19869.299030000002,False
71,AUT,1993,1.5,76.06829,6.7,0.82463,0.1,37.856,160927978100.0,190379720927.48102,77.15871,0.52681,24081.52781,21698.30767,171538857189.14902,86901000000.0,24870.0,21760.0,NA,0.93814,NA,7892.085999999999,1200.465,4252.424,1371.9660000000001,1067.231,20412.5057,276231856329.01,1.1098299999999999,0.84534,208567468700.0,0.8453,0.95142,161373778700.0,32314.970869999997,255470300141.9,20356.11546,False
